,UserID,MovieID,Number_Watched,Number_Watched_log
9741,9467746,2956,2,1.6931471805599454
10097,9467885,2956,1,1.0
10326,9468018,2956,10,3.302585092994046
10614,9468020,2956,1,1.0
11224,9468257,2956,1,1.0
11417,9468331,2956,2,1.6931471805599454
11930,9468427,2956,2,1.6931471805599454
11985,9468430,2956,182,6.204006687076795
13084,9468437,2956,1,1.0
13091,9468438,2956,1,1.0
13128,9468446,2956,1,1.0
13143,9468449,2956,5,2.6094379124341005
13264,9468465,2956,1,1.0
13419,9468975,2956,1,1.0
13444,9468990,2956,6,2.791759469228055
13633,9469016,2956,2,1.6931471805599454
13656,9469021,2956,2,1.6931471805599454
13664,9469022,2956,1,1.0
13699,9469024,2956,2,1.6931471805599454
14095,9469098,2956,3,2.09861228866811
14168,9469115,2956,1,1.0
15193,9469403,2956,1,1.0
15673,9471432,2956,2,1.6931471805599454
16210,9473754,2956,1,1.0
3,2976,50705,1,1.0
890,9464507,50705,1,1.0
2815,9465873,50705,4,2.386294361119891
3076,9465984,50705,3,2.09861228866811
4064,9466220,50705,1,1.0
4175,9466230,50705,1,1.0
4481,9466308,50705,1,1.0
6215,9466726,50705,2,1.6931471805599454
6389,9466787,50705,1,1.0
6926,9466943,50705,3,2.09861228866811
7251,9467020,50705,3,2.09861228866811
7371,9467052,50705,10,3.302585092994046
7429,9467073,50705,2,1.6931471805599454
7467,9467078,50705,1,1.0
7540,9467109,50705,2,1.6931471805599454
8029,9467255,50705,3,2.09861228866811
8491,9467345,50705,1,1.0
8710,9467405,50705,1,1.0
8767,9467423,50705,1,1.0
9205,9467588,50705,5,2.6094379124341005
9366,9467625,50705,6,2.791759469228055
9409,9467634,50705,1,1.0
9570,9467677,50705,2,1.6931471805599454
10660,9468050,50705,1,1.0
10969,9468189,50705,1,1.0
11249,9468265,50705,2,1.6931471805599454
11844,9468425,50705,2,1.6931471805599454
12012,9468430,50705,67,5.204692619390966
13742,9469027,50705,11,3.3978952727983707
13808,9469042,50705,2,1.6931471805599454
14643,9469229,50705,1,1.0
14668,9469237,50705,3,2.09861228866811
14827,9469260,50705,1,1.0
4,2976,88879,3,2.09861228866811
10,3101,88879,2,1.6931471805599454
20,4845,88879,1,1.0
54,9459937,88879,34,4.526360524616162
102,9460188,88879,1,1.0
183,9463919,88879,1,1.0
200,9463950,88879,9,3.1972245773362196
236,9463953,88879,3,2.09861228866811
256,9463962,88879,1,1.0
266,9463965,88879,1,1.0
281,9463986,88879,2,1.6931471805599454
296,9464030,88879,7,2.9459101490553135
332,9464060,88879,1,1.0
344,9464066,88879,5,2.6094379124341005
375,9464080,88879,1,1.0
397,9464101,88879,1,1.0
415,9464104,88879,1,1.0
428,9464141,88879,2,1.6931471805599454
